var,lead,model,reanalysis_minus_obs,ci_lo,ci_hi,significant_05
Rainfall,1,chronos2,0.29035390405456596,0.2411132552748136,0.333416207514407,True
Rainfall,7,chronos2,0.12869146125118136,0.08065595579323932,0.17202111059056205,True
Rainfall,30,chronos2,0.12709657707292155,0.08267211064008181,0.16602666347212708,True
Rainfall,1,tirex,0.2994378426619685,0.24896514487689328,0.3427445528054231,True
Rainfall,7,tirex,0.12699966199224322,0.0819096544043684,0.16796291421525783,True
Rainfall,30,tirex,0.12196831697094013,0.08409606597262025,0.15655608176540145,True
Rainfall,1,timesfm25,0.3041079279601717,0.2576467134941257,0.3464672953790877,True
Rainfall,7,timesfm25,0.12302999141550952,0.07856316378337394,0.16426915878320267,True
Rainfall,30,timesfm25,0.11590067612330501,0.07559993671311775,0.15107230863446697,True
Rainfall,1,toto2,0.30345538196238253,0.2521672072192606,0.3489171366353029,True
Rainfall,7,toto2,0.12566207137063456,0.07859018297570762,0.16903980665140114,True
Rainfall,30,toto2,0.12288656818783739,0.08460653234686703,0.15726140457458318,True
Rainfall,1,moirai2,0.2831451719387803,0.2364531574420749,0.32024879842518456,True
Rainfall,7,moirai2,0.12000170351051509,0.08018630439923438,0.15783445817764766,True
Rainfall,30,moirai2,0.09291560600569171,0.054830099956640205,0.12478010705405583,True
Rainfall,1,chronos_bolt,0.267153583167679,0.22493316409450234,0.30682473162771257,True
Rainfall,7,chronos_bolt,0.12496263409464325,0.0848207132333704,0.1628991497791765,True
Rainfall,30,chronos_bolt,0.11033799814350986,0.07806240916690786,0.1395244073459281,True
Rainfall,1,PatchTST,0.3025230941262529,0.2359195934576673,0.3572296400636311,True
Rainfall,7,PatchTST,0.06667489273884009,-0.030692228352104233,0.13721867411637811,False
Rainfall,30,PatchTST,0.0880937005009006,0.01997498137886296,0.1456764665102836,True
Rainfall,1,AutoARIMA,0.4583934113731143,0.30845931971444995,0.6221416857647801,True
Rainfall,7,AutoARIMA,0.17416150450872947,-0.02327597261862619,0.3395851731684175,False
Rainfall,30,AutoARIMA,0.19974113810300254,0.03322348158695653,0.34724772991329234,True
Rainfall,1,NHITS,0.2528920200460004,0.20894662397319863,0.2913033607847459,True
Rainfall,7,NHITS,0.09175198450126332,0.056108122104387696,0.1219938389066376,True
Rainfall,30,NHITS,0.08312287896496351,0.043242615825337886,0.1194965760972881,True
Temperature,1,chronos2,0.1768736849475553,0.13448459631074303,0.22214288382367378,True
Temperature,7,chronos2,0.0977430596604264,0.03241490769854895,0.16609889151166884,True
Temperature,30,chronos2,0.03062848343536162,-0.049834709119614795,0.11003948604557198,False
Temperature,1,tirex,0.177953868025852,0.12857176972774026,0.2305373207332459,True
Temperature,7,tirex,0.08751807139136814,0.01736486435250407,0.16194239878178884,True
Temperature,30,tirex,0.01576462000333878,-0.06480938186050039,0.09200008845738039,False
Temperature,1,timesfm25,0.177989629643709,0.13047591653964793,0.22867959460726348,True
Temperature,7,timesfm25,0.08989418251316472,0.025147265240096802,0.1611757190835618,True
Temperature,30,timesfm25,0.01913722487337821,-0.05296172428574285,0.09337563473761967,False
Temperature,1,toto2,0.24436393912225618,0.1946371713218031,0.2964456575018394,True
Temperature,7,toto2,0.15583431534952863,0.07988988876871098,0.229516860697649,True
Temperature,30,toto2,0.06029323723375635,-0.02430971010202463,0.1488766093761746,False
Temperature,1,moirai2,0.17408703454420282,0.1270559481048976,0.22619623148090526,True
Temperature,7,moirai2,0.07301576118127961,4.303679942433234e-06,0.14801515055527373,True
Temperature,30,moirai2,-0.07825046271066771,-0.18456286459144447,0.03099521527772608,False
Temperature,1,chronos_bolt,0.18005242619927397,0.13141039222394021,0.23264212258318537,True
Temperature,7,chronos_bolt,0.07859582036507651,0.0009670376302171687,0.15806951766708122,True
Temperature,30,chronos_bolt,-0.06177061958028496,-0.17488061634862065,0.046056270579114225,False
Temperature,1,PatchTST,0.1699654073450041,0.12017114306489875,0.22109141676388935,True
Temperature,7,PatchTST,0.039399716503811244,-0.011283982720464334,0.09585951609909643,False
Temperature,30,PatchTST,0.002313453639829155,-0.04198605872506365,0.045971187384613664,False
Temperature,1,AutoARIMA,0.18193794530879404,0.13102426122783786,0.23178583848141657,True
Temperature,7,AutoARIMA,0.04269117298118741,-0.0179812491299404,0.10845578576645956,False
Temperature,30,AutoARIMA,-0.07487907349129896,-0.14868338681099721,-0.012494076891321024,True
Temperature,1,NHITS,0.14726613319564374,0.09929193098079638,0.1991518328217148,True
Temperature,7,NHITS,-0.035092901825909184,-0.09517307894338213,0.03569353369907311,False
Temperature,30,NHITS,-0.07566880142876853,-0.13030673478297913,-0.021728321682246886,True
Humidity,1,chronos2,0.32949567741787145,0.27855677504939025,0.3842772956036513,True
Humidity,7,chronos2,0.34453292019246384,0.25765882489513586,0.4263149636654716,True
Humidity,30,chronos2,0.2938031801536717,0.20850384137897685,0.3709916131692524,True
Humidity,1,tirex,0.32779662332992987,0.27604081981509637,0.3848533585216683,True
Humidity,7,tirex,0.3449888132329759,0.25850144688295806,0.42841270532896325,True
Humidity,30,tirex,0.2872226107067376,0.19605080830602606,0.36951847104808516,True
Humidity,1,timesfm25,0.3253731829363129,0.27490481332007977,0.38119202891207565,True
Humidity,7,timesfm25,0.3472479900699753,0.26111148582629806,0.42814216227923085,True
Humidity,30,timesfm25,0.30762215258148085,0.2273111628668806,0.38084040775378614,True
Humidity,1,toto2,0.4468198052154392,0.3877133779039239,0.5102331422851221,True
Humidity,7,toto2,0.47061769274020027,0.37934657475811917,0.560338935110299,True
Humidity,30,toto2,0.4050520743014687,0.312880429292511,0.488574436446125,True
Humidity,1,moirai2,0.32691977904738545,0.2759624627840735,0.3825073856973679,True
Humidity,7,moirai2,0.3649116081563012,0.2800438638567046,0.44780020863007697,True
Humidity,30,moirai2,0.3415647447598317,0.2551577142979141,0.4215289848842239,True
Humidity,1,chronos_bolt,0.32884593593144196,0.27636107162986095,0.3858370470617377,True
Humidity,7,chronos_bolt,0.352519907938201,0.26715140995298653,0.4356478746915794,True
Humidity,30,chronos_bolt,0.2929067860143053,0.20066350533223168,0.3736767162752864,True
Humidity,1,PatchTST,0.3250121976995912,0.27256126833037464,0.3820824062337975,True
Humidity,7,PatchTST,0.32113988035915353,0.23962693106419045,0.398257576920671,True
Humidity,30,PatchTST,0.24894418850805666,0.16303206300470463,0.3234645581352419,True
Humidity,1,AutoARIMA,0.3146093406364998,0.2614461779342853,0.37036085153721177,True
Humidity,7,AutoARIMA,0.3062592368166793,0.21117274021233293,0.3942241822773968,True
Humidity,30,AutoARIMA,0.19331949866929965,0.103335379345318,0.2719336926558461,True
Humidity,1,NHITS,0.31570564983860516,0.2629012612176664,0.3697100612041979,True
Humidity,7,NHITS,0.3031048275131031,0.21788936338029435,0.38689319242078635,True
Humidity,30,NHITS,0.21188300877962285,0.13190926227116206,0.28083928714026735,True
Sunshine,1,chronos2,0.050601182122627764,-0.00012720813792114753,0.09873479645168105,False
Sunshine,7,chronos2,0.0069180179119471275,-0.03109888788691682,0.04902758427983299,False
Sunshine,30,chronos2,0.00037890445348565116,-0.036324617411542894,0.0370295584513628,False
Sunshine,1,tirex,0.05588401149969957,0.0007910207528094793,0.10884857105547495,True
Sunshine,7,tirex,0.005172888977796664,-0.03829796952283755,0.049295345928119336,False
Sunshine,30,tirex,-0.0023717541137980858,-0.04092034831258051,0.034854739964940894,False
Sunshine,1,timesfm25,0.05934579099488846,0.009360258626981425,0.1068184776878884,True
Sunshine,7,timesfm25,0.016083141995326455,-0.02690202201450642,0.06058703788008858,False
Sunshine,30,timesfm25,0.009835423772167395,-0.02942995855115696,0.0481189599483842,False
Sunshine,1,toto2,0.06084935066621222,0.004240304274461615,0.1152860334493649,True
Sunshine,7,toto2,0.004155769681600141,-0.036531196984661465,0.04535284353477982,False
Sunshine,30,toto2,-0.0003118582204927334,-0.0391493017943107,0.03815869586991807,False
Sunshine,1,moirai2,0.0654724712197603,0.014288783512094339,0.11426327829396825,True
Sunshine,7,moirai2,0.06904500142645797,0.023296522693913267,0.12474816478895386,True
Sunshine,30,moirai2,0.11167268344694459,0.049464390308132135,0.17303788877187132,True
Sunshine,1,chronos_bolt,0.0619543609801233,0.009555533084821313,0.11245294783924009,True
Sunshine,7,chronos_bolt,0.0198401495178131,-0.02632171419938114,0.06731761424721193,False
Sunshine,30,chronos_bolt,0.026135575859299265,-0.02622192618770192,0.07934074005974955,False
Sunshine,1,PatchTST,0.013852809586650472,-0.029114454253999538,0.05565590764645633,False
Sunshine,7,PatchTST,0.011765345594314636,-0.0185654941256971,0.042252227442429284,False
Sunshine,30,PatchTST,0.0018794196064030322,-0.025987476832630592,0.03134120032474966,False
Sunshine,1,AutoARIMA,0.03643461136343451,-0.013865814957429551,0.08327037574699293,False
Sunshine,7,AutoARIMA,-0.007930518766125494,-0.050039335461118356,0.03379497281964159,False
Sunshine,30,AutoARIMA,-0.018418412987450727,-0.05836578663420322,0.021891911664842986,False
Sunshine,1,NHITS,0.0074605548195245674,-0.04029372224916777,0.054771878832220275,False
Sunshine,7,NHITS,-0.07910800739875956,-0.12353565014978679,-0.035435801672346216,True
Sunshine,30,NHITS,-0.07235486571644323,-0.10415196181054187,-0.0378844582354703,True
