var,lead,model,control,context,DiD,ci_lo,ci_hi,significant_05,DiD_gm_control,gmc_ci_lo,gmc_ci_hi,gmc_significant_05,DiD_at_1024,DiD_gm_control_at_1024
Tavg,7,chronos2,PatchTST,2048,0.002241590820191486,-0.02296848521702517,0.0254344806079499,False,-0.0007223706522280215,-0.02513301618950606,0.02149764291119527,False,0.0130741375121367,0.0068513133616736
Tavg,7,tirex,PatchTST,2048,0.01698727518952514,-0.008532530737553043,0.04412682161113096,False,-0.005157652979978278,-0.031092893443925275,0.020327629913471323,False,0.0247898664943769,-0.0033808551651635
Tavg,7,timesfm25,PatchTST,2048,-0.0036143073998559094,-0.03034616119216109,0.019359376924002927,False,-0.015040936958868212,-0.04260015037896173,0.007532006441323091,False,0.0189188775555052,-0.0119129486506543
Tavg,30,chronos2,AutoARIMA,2048,0.04271692038421848,0.009091749253811432,0.07784065871697053,True,0.05893920045774648,0.024507380715154244,0.09164745130728469,True,0.0519055404417895,0.0602865570970061
Tavg,30,tirex,AutoARIMA,2048,0.057901499348056884,0.017204098007299443,0.09908779513634156,True,0.051619665441453466,0.012403597639003774,0.09239733200505852,True,0.0796312271056315,0.0516333766003463
Tavg,30,timesfm25,AutoARIMA,2048,0.012291911097846886,-0.023651221565688198,0.04827897748638744,False,0.021514710103430756,-0.012206776824249407,0.054248472454653106,False,0.0842945822580747,0.0344187587913928
Rainfall,7,chronos2,NHITS,2048,0.002758626805034581,-0.01873780874258896,0.024883415387089474,False,0.005562338128304534,-0.016709106842483494,0.02779404425184238,False,0.0106445745867614,0.0126631091253993
Rainfall,7,tirex,NHITS,2048,0.029308294469288065,0.005158955362289503,0.06486573020133486,True,0.01707252967531081,-0.007133535088363679,0.05255165301606843,False,0.0382714284328568,0.0243498367686435
Rainfall,7,timesfm25,NHITS,2048,0.013358375046809257,-0.015557286307106552,0.0482013340995501,False,0.012232171480883847,-0.016040410875345613,0.04675741193202855,False,0.0241008292604257,0.0219043162991497
Rainfall,30,chronos2,NHITS,2048,-0.021755476769378723,-0.04398071672998173,-0.0036628938619944536,True,-0.015911050127665916,-0.03863540324644261,0.002860687318625514,False,-0.022328355860947,-0.0159196743745431
Rainfall,30,tirex,NHITS,2048,0.0038221128200971455,-0.023658815753884108,0.03161461277577889,False,-0.0038623334624309225,-0.03064838299215515,0.025396670407842527,False,0.0133013575968135,-0.0020368632790577
Rainfall,30,timesfm25,NHITS,2048,-0.006881064221295419,-0.03423114420723462,0.01382301074035007,False,-0.004532142420117791,-0.03146981374001947,0.01603079084496184,False,0.0093751519611007,0.0097337524981249
