station,var,n_test,flag_constant_all_pct,flag_constant_test_pct,flag_linear_all_pct,flag_linear_test_pct,flag_offgrid_all_pct,flag_offgrid_test_pct,flag_any_all_pct,flag_any_test_pct
Ambaganctg,Rainfall,2922,0.0,0.0,0.10266940451745381,0.0,0.0,0.0,0.10266940451745381,0.0
Ambaganctg,Temperature,2922,0.17111567419575632,0.17111567419575632,0.8555783709787816,0.7529089664613279,0.0,0.0,1.0266940451745379,0.9240246406570842
Ambaganctg,Humidity,2922,0.9582477754962354,1.3347022587268993,3.0800821355236137,3.1485284052019162,0.0,0.0,4.038329911019849,4.483230663928816
Ambaganctg,Sunshine,2922,3.0629705681040384,5.509924709103354,0.37645448323066394,0.17111567419575632,0.34223134839151265,0.0,3.781656399726215,5.68104038329911
Barisal,Rainfall,2922,0.06724626543061626,0.0,0.182525577597387,0.17111567419575632,0.048033046736154474,0.0,0.29780488976415775,0.17111567419575632
Barisal,Temperature,2922,0.3314280224794659,0.17111567419575632,1.2440559104664008,0.34223134839151265,0.6052163888755463,0.0,1.6571401123973293,0.5133470225872689
Barisal,Humidity,2922,2.516931648974494,2.532511978097194,2.9588356789471155,1.9164955509924708,0.5763965608338537,0.0,5.557423507373073,4.4490075290896645
Barisal,Sunshine,2922,0.9990873721120132,1.0609171800136894,2.790720015370575,0.0,4.433450213747058,0.0,5.932081271915077,1.0609171800136894
Bhola,Rainfall,2922,0.038204393505253106,0.0,0.038204393505253106,0.0,0.0,0.0,0.07640878701050621,0.0
Bhola,Temperature,2922,0.3693091372174467,0.0,1.10792741165234,0.5133470225872689,0.03183699458771092,0.0,1.4772365488697867,0.5133470225872689
Bhola,Humidity,2922,2.833492518306272,1.7796030116358659,2.9353709009869466,2.70362765229295,0.0,0.0,5.768863419293218,4.483230663928816
Bhola,Sunshine,2922,1.279847182425979,0.7186858316221766,0.1973893664438077,0.17111567419575632,1.2989493791786055,0.0,2.6424705507800064,0.8898015058179329
Bogra,Rainfall,2922,0.02607561929595828,0.0,0.3302911777488049,0.0,0.4041720990873533,0.0,0.49109083007388094,0.0
Bogra,Temperature,2922,0.2129508909169926,0.0,1.3863537592351152,0.5475701574264202,0.9647979139504563,0.0,2.0469361147327247,0.5475701574264202
Bogra,Humidity,2922,0.8604954367666232,0.34223134839151265,2.3641894828335506,1.3347022587268993,0.6214689265536724,0.0,3.798348544111256,1.676933607118412
Bogra,Sunshine,2922,0.7822685788787485,1.1293634496919918,2.06431986093003,0.0,2.4989135158626685,0.0,3.659278574532812,1.1293634496919918
Chandpur,Rainfall,2922,0.06408015845275544,0.0,0.18058953745776535,0.0,0.0,0.0,0.2446696959105208,0.0
Chandpur,Temperature,2922,0.29709891646277525,0.0,0.9961551904928346,1.3004791238877482,0.4427356402190376,0.0,1.5437492718163812,1.3004791238877482
Chandpur,Humidity,2922,1.8524991261796575,1.3689253935660506,2.5923336828614705,2.0533880903490758,0.0,0.0,4.433181871140627,3.4223134839151266
