contrast,var,lead,model,family,skill_bangladesh,skill_temperate,gap,control_gap_best_trained,DiD_vs_control,skill_temperate_gapmatched,gap_gapmatched,skill_obs,skill_reanalysis,reanalysis_minus_obs,track,best_baseline,best_baseline_CRPSS,best_fm,best_fm_CRPSS,fm_beats_best_baseline
A_equity,Rainfall,1,AutoETS,trained,-0.2535083071980124,-0.2748278425978396,-0.021319535399827227,-0.0438246068089937,0.022505071409166473,,,,,,,,,,,
A_equity,Rainfall,1,AutoTheta,trained,-0.2915748547956689,-0.3368688939591238,-0.04529403916345487,-0.0438246068089937,-0.0014694323544611684,,,,,,,,,,,
A_equity,Rainfall,1,AutoARIMA,trained,-0.1804026973606647,-0.247302489608425,-0.0668997922477603,-0.0438246068089937,-0.023075185438766598,,,,,,,,,,,
A_equity,Rainfall,1,lightgbm,trained,-0.1324316389486139,-0.3458763115742147,-0.21344467262560082,-0.0438246068089937,-0.16962006581660713,,,,,,,,,,,
A_equity,Rainfall,1,NHITS,trained,0.0599293485178864,0.0161047417088927,-0.0438246068089937,-0.0438246068089937,0.0,,,,,,,,,,,
A_equity,Rainfall,1,DLinear,trained,-0.1188323111778637,-0.1914095898022536,-0.07257727862438988,-0.0438246068089937,-0.02875267181539618,,,,,,,,,,,
A_equity,Rainfall,1,PatchTST,trained,0.04288840363977,-0.0094809399880426,-0.0523693436278126,-0.0438246068089937,-0.008544736818818899,,,,,,,,,,,
A_equity,Rainfall,1,chronos2,FM,0.0861953107487633,0.02384146383067,-0.0623538469180933,-0.0438246068089937,-0.0185292401090996,0.0197748397205886,-0.0664204710281747,,,,,,,,,
A_equity,Rainfall,1,chronos_bolt,FM,0.063060620073401,0.0174211931958626,-0.04563942687753841,-0.0438246068089937,-0.0018148200685447063,0.0146770341321305,-0.048383585941270506,,,,,,,,,
A_equity,Rainfall,1,timesfm25,FM,0.0515061392200507,0.0079256591082268,-0.0435804801118239,-0.0438246068089937,0.00024412669716979835,-0.0116611399923627,-0.0631672792124134,,,,,,,,,
A_equity,Rainfall,1,toto2,FM,0.0954073894548009,0.030225254052021,-0.0651821354027799,-0.0438246068089937,-0.021357528593786194,0.0231854175241061,-0.0722219719306948,,,,,,,,,
A_equity,Rainfall,1,tirex,FM,0.0897093630864104,0.0308626831421736,-0.058846679944236806,-0.0438246068089937,-0.015022073135243105,-0.0009257755203491,-0.09063513860675951,,,,,,,,,
A_equity,Rainfall,1,moirai2,FM,0.0792265469865594,0.0253833781866004,-0.053843168799959,-0.0438246068089937,-0.010018561990965298,0.0164630498945949,-0.06276349709196449,,,,,,,,,
