track,var,lead,MASE,sCRPS,RMSE,coverage80,n_windows,model,n_models_compared,skill_MAE_vs_clim,CRPSS_vs_clim
bmd,Rainfall,1,0.7745492344846074,0.6739334099716554,16.640758005766372,0.9194421315570358,14412,AutoARIMA,18,-0.31900575430677036,-0.32745250379362556
bmd,Rainfall,3,0.8124399148053155,0.6920718484648369,17.081135203123267,0.9304052178739939,14412,AutoARIMA,18,-0.3657197335809017,-0.3368849699309704
bmd,Rainfall,7,0.8197289211981551,0.6985227519251869,16.884073207110795,0.9313766305856231,14412,AutoARIMA,18,-0.30846895504477634,-0.30652126824963033
bmd,Rainfall,14,0.8206208773463798,0.6990989058099836,16.912583051001267,0.93255620316403,14412,AutoARIMA,18,-0.30767579665150846,-0.30553629805999205
bmd,Rainfall,30,0.8442858554343218,0.7161332202500039,17.672044585079455,0.9306133777407716,14412,AutoARIMA,18,-0.3481512925552326,-0.3029672540133168
bmd,Rainfall,1,0.7958784340953221,0.6915080704253393,17.304602311412197,0.9278379128504024,14412,AutoETS,18,-0.35532796052521753,-0.3620694654657688
bmd,Rainfall,3,0.8243864074186719,0.7124376480625609,17.968476870949672,0.9236747155148487,14412,AutoETS,18,-0.3858019087815734,-0.37622587282019815
bmd,Rainfall,7,0.8550845028119031,0.7377376141380841,18.474785951249743,0.9242991951151818,14412,AutoETS,18,-0.3649042957199875,-0.37986898866592456
bmd,Rainfall,14,0.8535392042039444,0.7428417105475381,18.330597116041528,0.9292950319178462,14412,AutoETS,18,-0.36013180951471857,-0.38722405195178555
bmd,Rainfall,30,0.8701384315428559,0.7674964154959729,18.74073087652321,0.9344296419650291,14412,AutoETS,18,-0.3894325525363953,-0.39641992395596604
bmd,Rainfall,1,0.7873427396347085,0.7258310585224134,17.398160595692666,0.9172217596447405,14412,AutoTheta,18,-0.3407922414136424,-0.4296757538809046
bmd,Rainfall,3,0.8302400592978084,0.6941761744836775,18.20763950634802,0.9193727449347766,14412,AutoTheta,18,-0.3956419569367229,-0.3409499262395719
bmd,Rainfall,7,0.8669665358663913,0.7534751558733238,18.813685415667766,0.9077157923952262,14412,AutoTheta,18,-0.3838706527345588,-0.4093045838994196
bmd,Rainfall,14,0.8688443895299113,0.7389399660938176,18.654405508476724,0.914029975020816,14412,AutoTheta,18,-0.38452092873716914,-0.3799377166882729
bmd,Rainfall,30,0.8827967767298895,0.75644720093785,19.00419967246287,0.9267277268942548,14412,AutoTheta,18,-0.4096453327407148,-0.37631645110384015
bmd,Rainfall,1,0.7141559388311746,0.6630345278268588,16.371373084683974,0.5295587010824313,14412,DLinear,18,-0.2161599945515058,-0.3059848807650085
bmd,Rainfall,3,0.7432280683922325,0.6879939952971441,16.989202914749367,0.5142242575631418,14412,DLinear,18,-0.24937391806718612,-0.32900772333935313
bmd,Rainfall,7,0.7576866552659011,0.7041521177539194,16.817343033499217,0.5123508187621426,14412,DLinear,18,-0.20943575422232708,-0.3170504688543725
bmd,Rainfall,14,0.7506975594373709,0.6946778049491857,16.8285149475528,0.5284485151262837,14412,DLinear,18,-0.19625158971826862,-0.2972800876680328
bmd,Rainfall,30,0.7807983845458248,0.72076281003766,17.66334031560394,0.5278934221482098,14412,DLinear,18,-0.24677482700333742,-0.31139055253132786
bmd,Rainfall,1,0.5794904930920934,0.49881837920051736,17.362469345089412,0.8485983902303635,14412,NHITS,18,0.01316628959920707,0.017473096584046388
bmd,Rainfall,3,0.609483863894849,0.5298633453023649,18.00385549831247,0.8245906189286706,14412,NHITS,18,-0.024548554362688435,-0.023544512066750345
bmd,Rainfall,7,0.6396469854119533,0.5465235443677451,17.940010602973434,0.8365251179572578,14412,NHITS,18,-0.021018291481263773,-0.022221011910725785
bmd,Rainfall,14,0.6428892954249972,0.5483671759539104,17.954026240703126,0.8145989453233416,14412,NHITS,18,-0.024456962723309994,-0.02405145670055897
bmd,Rainfall,30,0.6508048205000663,0.5659648702718982,18.46932328393559,0.8209825145711906,14412,NHITS,18,-0.03920177545434833,-0.02974372928648439
bmd,Rainfall,1,0.6242541471499179,0.5308165039753334,16.791210281880826,0.8789897307799056,14412,PatchTST,18,-0.06306323159495708,-0.045553888308744295
bmd,Rainfall,3,0.6522857251062301,0.5513952918090864,17.34922866943992,0.8746877601998335,14412,PatchTST,18,-0.09649891699889834,-0.06513807741989486
bmd,Rainfall,7,0.6773230315754328,0.5788762829103243,17.747799432915585,0.8723286150430197,14412,PatchTST,18,-0.08115760763676882,-0.08273377384367797
bmd,Rainfall,14,0.706909405028781,0.587308935601586,18.051360135066833,0.8737857341104635,14412,PatchTST,18,-0.1264742890415973,-0.09677347115066715
bmd,Rainfall,30,0.6738323700332873,0.5881665345643811,18.079837890707132,0.859977796280877,14412,PatchTST,18,-0.07597204759354148,-0.0701385060398978
bmd,Rainfall,1,0.5791204743066144,0.4958547292775089,17.368076309519967,0.7311962253677491,14412,chronos2,18,0.013796406944262873,0.023310623634131167
bmd,Rainfall,3,0.6021855965458576,0.5197078529608056,18.12807938806389,0.7690813211212878,14412,chronos2,18,-0.012280092956708177,-0.003927003994725897
bmd,Rainfall,7,0.6339138556249022,0.5437174207365715,18.223426361847665,0.7364002220371912,14412,chronos2,18,-0.011866946265050027,-0.01697242094448792
