track,var,lead,MASE,sCRPS,RMSE,coverage80,n_windows,model
bmd,Rainfall,1,0.6096973534994925,0.5203455430066916,17.29341861292057,0.764571190674438,14412,tirex_ctx96
bmd,Rainfall,3,0.6258474359639566,0.5465290554557871,18.177684425228424,0.7868442964196503,14412,tirex_ctx96
bmd,Rainfall,7,0.6530860045325694,0.5805207236211049,18.36308688610523,0.7565917291146267,14412,tirex_ctx96
bmd,Rainfall,14,0.6570407262800951,0.5840708622316517,18.509837360025934,0.7808770469053566,14412,tirex_ctx96
bmd,Rainfall,30,0.6662031020513622,0.614560983366159,18.992257170312318,0.7669303358312517,14412,tirex_ctx96
bmd,Temperature,1,0.5078259494100559,0.4013338727850636,1.1162124731732288,0.786122873486368,13461,tirex_ctx96
bmd,Temperature,3,0.7800298105809291,0.6060602550151106,1.6348149914057941,0.7891687096055271,13461,tirex_ctx96
bmd,Temperature,7,0.9087004458944598,0.7108558772684482,1.8966903947662104,0.8065522620904836,13461,tirex_ctx96
bmd,Temperature,14,1.0946137120462527,0.8563123590083471,2.283920057131299,0.8025406730554937,13461,tirex_ctx96
bmd,Temperature,30,1.5631498981061474,1.2379261095251042,3.2820281317257156,0.7499442834856251,13461,tirex_ctx96
bmd,Humidity,1,0.5847419672828683,0.4614621977688181,4.9836602274477535,0.778978654417725,11103,tirex_ctx96
bmd,Humidity,3,0.7691517391772569,0.601500218192252,6.451980587258763,0.7926686481131225,11103,tirex_ctx96
bmd,Humidity,7,0.8330144253927689,0.6495198124305639,6.938088419979298,0.8145546248761596,11103,tirex_ctx96
bmd,Humidity,14,0.8896719881130791,0.6966906378091882,7.389767063701786,0.8132937044042151,11103,tirex_ctx96
bmd,Humidity,30,0.9797831891129927,0.7779652135332904,8.126433956367148,0.8192380437719535,11103,tirex_ctx96
bmd,Sunshine,1,0.7035774853819275,0.5395570697727611,2.7887771192247883,0.7682473613795154,13454,tirex_ctx96
bmd,Sunshine,3,0.8626706546393555,0.6498299043787954,3.265767673292268,0.7585848074921956,13454,tirex_ctx96
bmd,Sunshine,7,0.8873799295784862,0.6629992651294623,3.318317092213734,0.7845993756503642,13454,tirex_ctx96
bmd,Sunshine,14,0.9064085437199976,0.6762410539932191,3.3726316871680204,0.7985729151181805,13454,tirex_ctx96
bmd,Sunshine,30,0.9681099142006665,0.7197345239058136,3.568781391779219,0.8120261632228334,13454,tirex_ctx96
ghcn_bangladesh,Rainfall,1,1.2342579172042014,1.0517807835628195,19.953014539105876,0.7357019064124783,1154,tirex_ctx96
ghcn_bangladesh,Rainfall,3,1.413295040191546,1.2308746371199286,26.703889523566364,0.7279029462738301,1154,tirex_ctx96
ghcn_bangladesh,Rainfall,7,1.4388795503653637,1.2525602006844123,21.466667349984533,0.7348353552859619,1154,tirex_ctx96
ghcn_bangladesh,Rainfall,14,1.416550440876584,1.2257853430651813,20.63559360838946,0.7530329289428076,1154,tirex_ctx96
ghcn_bangladesh,Rainfall,30,1.2835191828900223,1.1726188968842726,20.89260764244439,0.729636048526863,1154,tirex_ctx96
ghcn_bangladesh,Tavg,1,0.4997018937741581,0.40082429443210427,1.1963701166448826,0.79702300405954,1478,tirex_ctx96
ghcn_bangladesh,Tavg,3,0.7440556685749075,0.5778482500788391,1.705794857558675,0.8132611637347767,1478,tirex_ctx96
ghcn_bangladesh,Tavg,7,0.857871155557283,0.6718570702136373,1.9268202076861836,0.8085250338294994,1478,tirex_ctx96
ghcn_bangladesh,Tavg,14,1.0180852481464173,0.7928912985097432,2.2706595335919015,0.8139377537212449,1478,tirex_ctx96
ghcn_bangladesh,Tavg,30,1.4009204461904106,1.099711483713254,3.1697184094620297,0.7828146143437077,1478,tirex_ctx96
ghcn_temperate,Rainfall,1,0.5778218665216897,0.5017022244549433,4.617676433399375,0.7113140537798072,9855,tirex_ctx96
ghcn_temperate,Rainfall,3,0.636309857377309,0.5695980348260505,5.267187576184786,0.7657026889903602,9855,tirex_ctx96
ghcn_temperate,Rainfall,7,0.6408406566759743,0.5781023438928726,5.301831427105972,0.7666159309994927,9855,tirex_ctx96
ghcn_temperate,Rainfall,14,0.6359722654402289,0.5737771238573637,5.283301332582674,0.7524099441907661,9855,tirex_ctx96
ghcn_temperate,Rainfall,30,0.6074434637073425,0.5581888397829481,5.065415523693307,0.7892440385591071,9855,tirex_ctx96
ghcn_temperate,Tavg,1,0.41380858347103455,0.32564989431920444,2.1215708611182906,0.7951695308871343,12918,tirex_ctx96
ghcn_temperate,Tavg,3,0.6798976002503669,0.5329440946734753,3.4309954106637646,0.7882025081281933,12918,tirex_ctx96
