var,lead,model,control,DiD,ci_lo,ci_hi,significant_05,DiD_gapmatched,gm_ci_lo,gm_ci_hi,gm_significant_05,control_gapmatched,DiD_gm_control,gmc_ci_lo,gmc_ci_hi,gmc_significant_05
Rainfall,1,chronos2,NHITS,-0.028924595940785,-0.0508439478377633,-0.0075083202477363,True,-0.0330410866542857,-0.055227599612298,-0.0127912857928445,True,True,-0.0275692141586068,-0.0490698975789635,-0.0061610708818142,True
Rainfall,1,chronos_bolt,NHITS,0.0043687933313762,-0.0236046784588512,0.025865417676917,False,0.0016829087169669,-0.0272280610865243,0.0240394373575224,False,True,0.0071547812126459,-0.019822488655447,0.0306117680034081,False
Rainfall,1,timesfm25,NHITS,-0.0048502720100629,-0.0351859969752477,0.0314880919687376,False,-0.0233335072529666,-0.0569345449239381,0.0145443542641466,False,True,-0.0178616347572877,-0.0483566876882505,0.0217104798849037,False
Rainfall,1,toto2,NHITS,-0.0363229313148186,-0.0784793314091468,0.0002360812262142,False,-0.0436452735692811,-0.0878588914404583,-0.0073197128920529,True,True,-0.0381734010736022,-0.0776817400862588,-0.0012850761958177,True
Rainfall,1,tirex,NHITS,-0.0276745305101233,-0.0693882765341284,0.0152215294388388,False,-0.0578683045664045,-0.0991998701067347,-0.010740360714695,True,True,-0.0523964320707256,-0.0923129407653493,-0.0042402758635754,True
Rainfall,1,moirai2,NHITS,-0.00208322599517,-0.0327463457992212,0.0377213659449709,False,-0.0111871754385576,-0.0429450189640357,0.0323495368246101,False,True,-0.0057153029428786,-0.0371996300916374,0.0381152653228024,False
Rainfall,1,ttm_r2,NHITS,-0.1259622227866522,-0.2651550975779854,0.0690072649987221,False,-0.0911195586644763,-0.2328643528455743,0.1210139922616978,False,True,-0.0856476861687973,-0.2198419889960115,0.1153835960817407,False
Rainfall,1,sundial,NHITS,-0.0831802313029567,-0.1407322637758146,-0.0005743222409375,True,-0.0920639902145773,-0.1440641674542955,-0.0054969479397963,True,True,-0.0865921177188984,-0.1397172203279454,-0.002554604095131,True
Rainfall,7,chronos2,NHITS,0.0106445745867614,-0.0147396600426376,0.0401785683393164,False,0.0065084257291178,-0.0207985323919739,0.0356227600376724,False,True,0.0126631091253993,-0.0132679814795303,0.0425388801067119,False
Rainfall,7,chronos_bolt,NHITS,0.0205146652292235,-0.0095632004926903,0.0571441205944959,False,0.0152237046101403,-0.0171076579647251,0.0508653887490125,False,True,0.0213783880064218,-0.0105822722340948,0.0582099587219432,False
Rainfall,7,timesfm25,NHITS,0.0241008292604257,-0.0089064872467281,0.0678988347080637,False,0.0157496329028682,-0.0206769592071181,0.0586209306311311,False,True,0.0219043162991497,-0.0132926631903473,0.0648989104434622,False
Rainfall,7,toto2,NHITS,0.0276604241344854,0.0071352169817838,0.0537150074723059,True,0.0213730230648986,-0.0015858452418914,0.0473423282683421,False,True,0.0275277064611801,0.0054639707955086,0.053450031921064,True
Rainfall,7,tirex,NHITS,0.0382714284328568,0.0090076128699401,0.0790439813323589,True,0.0181951533723619,-0.0114471583036101,0.0607344260748408,False,True,0.0243498367686435,-0.0052831152833915,0.0673056033623878,False
Rainfall,7,moirai2,NHITS,0.0319776182628567,-0.0026903996125782,0.0736793672329926,False,0.0218477734205532,-0.0120412944365967,0.0630386956351468,False,True,0.0280024568168347,-0.0054466222085205,0.0707704790364762,False
Rainfall,7,ttm_r2,NHITS,-0.0777395969265138,-0.1878520973017835,0.1142713790270659,False,-0.0316399633452674,-0.1389409070352523,0.1775035888236318,False,True,-0.0254852799489858,-0.1281046544414815,0.1781626201923425,False
Rainfall,7,sundial,NHITS,-0.0218309285427319,-0.0746953324380335,0.0554736456637702,False,-0.0281176798150658,-0.077859370648467,0.0543060377716317,False,True,-0.0219629964187842,-0.0729375948167444,0.0596950152538362,False
Rainfall,30,chronos2,NHITS,-0.022328355860947,-0.0500573608892597,-0.0043759640618619,True,-0.0238088663469797,-0.0514233330879833,-0.0054877341068069,True,True,-0.0159196743745431,-0.0442409171618752,0.0014714649175843,False
Rainfall,30,chronos_bolt,NHITS,-0.0169557533705915,-0.0397592693525995,0.0013842477318576,False,-0.0202663340342512,-0.0439335155446939,-0.0004012956999387,True,True,-0.0123771420618146,-0.0355923408131985,0.005042762047347,False
Rainfall,30,timesfm25,NHITS,0.0093751519611007,-0.0224547438655496,0.0380025747458305,False,0.0018445605256882,-0.0326215785795961,0.032110647448285,False,True,0.0097337524981249,-0.0215975915473389,0.0378497981988198,False
