var,lead,model,reanalysis_minus_obs,ci_lo,ci_hi,significant_05
Rainfall,1,chronos2,0.2903539040545659,0.2411132552748136,0.333416207514407,True
Rainfall,7,chronos2,0.1286914612511813,0.0806559557932393,0.172021110590562,True
Rainfall,30,chronos2,0.1270965770729215,0.0826721106400818,0.166026663472127,True
Rainfall,1,tirex,0.2994378426619685,0.2489651448768932,0.3427445528054231,True
Rainfall,7,tirex,0.1269996619922432,0.0819096544043684,0.1679629142152578,True
Rainfall,30,tirex,0.1219683169709401,0.0840960659726202,0.1565560817654014,True
Rainfall,1,timesfm25,0.3041079279601717,0.2576467134941257,0.3464672953790877,True
Rainfall,7,timesfm25,0.1230299914155095,0.0785631637833739,0.1642691587832026,True
Rainfall,30,timesfm25,0.115900676123305,0.0755999367131177,0.1510723086344669,True
Rainfall,1,toto2,0.3034553819623825,0.2521672072192606,0.3489171366353029,True
Rainfall,7,toto2,0.1256620713706345,0.0785901829757076,0.1690398066514011,True
Rainfall,30,toto2,0.1228865681878373,0.084606532346867,0.1572614045745831,True
Rainfall,1,moirai2,0.2831451719387803,0.2364531574420749,0.3202487984251845,True
Rainfall,7,moirai2,0.120001703510515,0.0801863043992343,0.1578344581776476,True
Rainfall,30,moirai2,0.0929156060056917,0.0548300999566402,0.1247801070540558,True
Rainfall,1,chronos_bolt,0.267153583167679,0.2249331640945023,0.3068247316277125,True
Rainfall,7,chronos_bolt,0.1249626340946432,0.0848207132333704,0.1628991497791765,True
Rainfall,30,chronos_bolt,0.1103379981435098,0.0780624091669078,0.1395244073459281,True
Rainfall,1,PatchTST,0.3025230941262529,0.2359195934576673,0.3572296400636311,True
Rainfall,7,PatchTST,0.06667489273884,-0.0306922283521042,0.1372186741163781,False
Rainfall,30,PatchTST,0.0880937005009006,0.0199749813788629,0.1456764665102836,True
Rainfall,1,AutoARIMA,0.4583934113731143,0.3084593197144499,0.6221416857647801,True
Rainfall,7,AutoARIMA,0.1741615045087294,-0.0232759726186261,0.3395851731684175,False
Rainfall,30,AutoARIMA,0.1997411381030025,0.0332234815869565,0.3472477299132923,True
Rainfall,1,NHITS,0.2528920200460004,0.2089466239731986,0.2913033607847459,True
Rainfall,7,NHITS,0.0917519845012633,0.0561081221043876,0.1219938389066376,True
Rainfall,30,NHITS,0.0831228789649635,0.0432426158253378,0.1194965760972881,True
Temperature,1,chronos2,0.1768736849475553,0.134484596310743,0.2221428838236737,True
Temperature,7,chronos2,0.0977430596604264,0.0324149076985489,0.1660988915116688,True
Temperature,30,chronos2,0.0306284834353616,-0.0498347091196147,0.1100394860455719,False
Temperature,1,tirex,0.177953868025852,0.1285717697277402,0.2305373207332459,True
Temperature,7,tirex,0.0875180713913681,0.017364864352504,0.1619423987817888,True
