lead,model,avg_rank,cd,n_tasks,n_models,friedman_chi2,friedman_p
1,tirex,1.625,6.584748158039672,16,18,220.0745614035086,2.5475670414007274e-37
1,toto2,3.75,6.584748158039672,16,18,220.0745614035086,2.5475670414007274e-37
1,chronos2,4.1875,6.584748158039672,16,18,220.0745614035086,2.5475670414007274e-37
1,timesfm25,4.375,6.584748158039672,16,18,220.0745614035086,2.5475670414007274e-37
1,moirai2,4.6875,6.584748158039672,16,18,220.0745614035086,2.5475670414007274e-37
1,chronos_bolt,5.8125,6.584748158039672,16,18,220.0745614035086,2.5475670414007274e-37
1,AutoARIMA,7.625,6.584748158039672,16,18,220.0745614035086,2.5475670414007274e-37
1,PatchTST,7.75,6.584748158039672,16,18,220.0745614035086,2.5475670414007274e-37
1,NHITS,8.125,6.584748158039672,16,18,220.0745614035086,2.5475670414007274e-37
1,sundial,11.0625,6.584748158039672,16,18,220.0745614035086,2.5475670414007274e-37
1,AutoETS,11.625,6.584748158039672,16,18,220.0745614035086,2.5475670414007274e-37
1,naive,12.375,6.584748158039672,16,18,220.0745614035086,2.5475670414007274e-37
1,lightgbm,12.875,6.584748158039672,16,18,220.0745614035086,2.5475670414007274e-37
1,AutoTheta,12.9375,6.584748158039672,16,18,220.0745614035086,2.5475670414007274e-37
1,DLinear,13.25,6.584748158039672,16,18,220.0745614035086,2.5475670414007274e-37
1,climatology,14.625,6.584748158039672,16,18,220.0745614035086,2.5475670414007274e-37
1,ttm_r2,16.375,6.584748158039672,16,18,220.0745614035086,2.5475670414007274e-37
1,seasonal_naive,17.9375,6.584748158039672,16,18,220.0745614035086,2.5475670414007274e-37
7,chronos2,2.125,6.584748158039672,16,18,215.54824561403507,2.0987772210294612e-36
7,tirex,3.4375,6.584748158039672,16,18,215.54824561403507,2.0987772210294612e-36
7,timesfm25,4.4375,6.584748158039672,16,18,215.54824561403507,2.0987772210294612e-36
7,chronos_bolt,5.75,6.584748158039672,16,18,215.54824561403507,2.0987772210294612e-36
7,toto2,5.8125,6.584748158039672,16,18,215.54824561403507,2.0987772210294612e-36
7,moirai2,6.3125,6.584748158039672,16,18,215.54824561403507,2.0987772210294612e-36
7,PatchTST,6.3125,6.584748158039672,16,18,215.54824561403507,2.0987772210294612e-36
7,climatology,8.5,6.584748158039672,16,18,215.54824561403507,2.0987772210294612e-36
7,lightgbm,8.625,6.584748158039672,16,18,215.54824561403507,2.0987772210294612e-36
7,AutoARIMA,8.625,6.584748158039672,16,18,215.54824561403507,2.0987772210294612e-36
7,NHITS,8.9375,6.584748158039672,16,18,215.54824561403507,2.0987772210294612e-36
7,sundial,10.6875,6.584748158039672,16,18,215.54824561403507,2.0987772210294612e-36
7,DLinear,12.0,6.584748158039672,16,18,215.54824561403507,2.0987772210294612e-36
7,AutoETS,14.4375,6.584748158039672,16,18,215.54824561403507,2.0987772210294612e-36
7,AutoTheta,15.25,6.584748158039672,16,18,215.54824561403507,2.0987772210294612e-36
7,ttm_r2,15.9375,6.584748158039672,16,18,215.54824561403507,2.0987772210294612e-36
7,naive,16.6875,6.584748158039672,16,18,215.54824561403507,2.0987772210294612e-36
7,seasonal_naive,17.125,6.584748158039672,16,18,215.54824561403507,2.0987772210294612e-36
30,chronos2,2.0,6.584748158039672,16,18,209.84649122807016,2.9759841335477564e-35
30,tirex,3.625,6.584748158039672,16,18,209.84649122807016,2.9759841335477564e-35
30,timesfm25,3.75,6.584748158039672,16,18,209.84649122807016,2.9759841335477564e-35
30,toto2,6.5625,6.584748158039672,16,18,209.84649122807016,2.9759841335477564e-35
30,chronos_bolt,6.625,6.584748158039672,16,18,209.84649122807016,2.9759841335477564e-35
30,PatchTST,6.8125,6.584748158039672,16,18,209.84649122807016,2.9759841335477564e-35
30,moirai2,7.0625,6.584748158039672,16,18,209.84649122807016,2.9759841335477564e-35
30,climatology,7.25,6.584748158039672,16,18,209.84649122807016,2.9759841335477564e-35
30,lightgbm,8.25,6.584748158039672,16,18,209.84649122807016,2.9759841335477564e-35
30,AutoARIMA,8.875,6.584748158039672,16,18,209.84649122807016,2.9759841335477564e-35
30,NHITS,8.875,6.584748158039672,16,18,209.84649122807016,2.9759841335477564e-35
30,sundial,10.3125,6.584748158039672,16,18,209.84649122807016,2.9759841335477564e-35
30,DLinear,11.5,6.584748158039672,16,18,209.84649122807016,2.9759841335477564e-35
30,seasonal_naive,15.25,6.584748158039672,16,18,209.84649122807016,2.9759841335477564e-35
30,ttm_r2,15.25,6.584748158039672,16,18,209.84649122807016,2.9759841335477564e-35
30,AutoTheta,15.8125,6.584748158039672,16,18,209.84649122807016,2.9759841335477564e-35
30,AutoETS,15.8125,6.584748158039672,16,18,209.84649122807016,2.9759841335477564e-35
30,naive,17.375,6.584748158039672,16,18,209.84649122807016,2.9759841335477564e-35
