station_id,year,pct,track
Ambaganctg,2008,100.0,BMD
Ambaganctg,2009,100.0,BMD
Ambaganctg,2010,100.0,BMD
Ambaganctg,2011,100.0,BMD
Ambaganctg,2012,100.0,BMD
Ambaganctg,2013,100.0,BMD
Ambaganctg,2014,100.0,BMD
Ambaganctg,2015,98.4,BMD
Ambaganctg,2016,100.0,BMD
Ambaganctg,2017,100.0,BMD
Ambaganctg,2018,100.0,BMD
Ambaganctg,2019,100.0,BMD
Ambaganctg,2020,100.0,BMD
Ambaganctg,2021,100.0,BMD
Ambaganctg,2022,100.0,BMD
Ambaganctg,2023,100.0,BMD
Barisal,1967,100.0,BMD
Barisal,1968,98.6,BMD
Barisal,1969,100.0,BMD
Barisal,1970,100.0,BMD
Barisal,1971,94.2,BMD
Barisal,1972,100.0,BMD
Barisal,1973,100.0,BMD
Barisal,1974,100.0,BMD
Barisal,1975,100.0,BMD
Barisal,1976,100.0,BMD
Barisal,1977,100.0,BMD
Barisal,1978,100.0,BMD
Barisal,1979,100.0,BMD
Barisal,1980,100.0,BMD
Barisal,1981,100.0,BMD
Barisal,1982,100.0,BMD
Barisal,1983,100.0,BMD
Barisal,1984,100.0,BMD
Barisal,1985,98.4,BMD
Barisal,1986,100.0,BMD
Barisal,1987,98.4,BMD
Barisal,1988,100.0,BMD
Barisal,1989,100.0,BMD
Barisal,1990,100.0,BMD
Barisal,1991,100.0,BMD
Barisal,1992,98.6,BMD
Barisal,1993,100.0,BMD
Barisal,1994,100.0,BMD
Barisal,1995,100.0,BMD
Barisal,1996,100.0,BMD
Barisal,1997,100.0,BMD
Barisal,1998,100.0,BMD
Barisal,1999,100.0,BMD
Barisal,2000,100.0,BMD
Barisal,2001,100.0,BMD
Barisal,2002,100.0,BMD
Barisal,2003,100.0,BMD
Barisal,2004,100.0,BMD
Barisal,2005,100.0,BMD
Barisal,2006,100.0,BMD
Barisal,2007,100.0,BMD
Barisal,2008,100.0,BMD
Barisal,2009,100.0,BMD
Barisal,2010,100.0,BMD
Barisal,2011,100.0,BMD
Barisal,2012,97.8,BMD
Barisal,2013,98.4,BMD
Barisal,2014,100.0,BMD
Barisal,2015,100.0,BMD
Barisal,2016,100.0,BMD
Barisal,2017,100.0,BMD
Barisal,2018,98.6,BMD
Barisal,2019,100.0,BMD
Barisal,2020,100.0,BMD
Barisal,2021,100.0,BMD
Barisal,2022,100.0,BMD
Barisal,2023,100.0,BMD
Bhola,1981,100.0,BMD
Bhola,1982,98.4,BMD
Bhola,1983,100.0,BMD
Bhola,1984,100.0,BMD
Bhola,1985,100.0,BMD
Bhola,1986,100.0,BMD
Bhola,1987,98.4,BMD
Bhola,1988,100.0,BMD
Bhola,1989,100.0,BMD
Bhola,1990,100.0,BMD
Bhola,1991,100.0,BMD
Bhola,1992,100.0,BMD
Bhola,1993,100.0,BMD
Bhola,1994,100.0,BMD
Bhola,1995,100.0,BMD
Bhola,1996,100.0,BMD
Bhola,1997,100.0,BMD
Bhola,1998,100.0,BMD
Bhola,1999,100.0,BMD
Bhola,2000,100.0,BMD
Bhola,2001,100.0,BMD
Bhola,2002,100.0,BMD
Bhola,2003,100.0,BMD
Bhola,2004,100.0,BMD
Bhola,2005,100.0,BMD
Bhola,2006,100.0,BMD
Bhola,2007,100.0,BMD
Bhola,2008,100.0,BMD
Bhola,2009,100.0,BMD
Bhola,2010,100.0,BMD
Bhola,2011,100.0,BMD
Bhola,2012,100.0,BMD
Bhola,2013,100.0,BMD
Bhola,2014,100.0,BMD
Bhola,2015,100.0,BMD
Bhola,2016,100.0,BMD
Bhola,2017,100.0,BMD
Bhola,2018,100.0,BMD
Bhola,2019,100.0,BMD
Bhola,2020,100.0,BMD
Bhola,2021,100.0,BMD
Bhola,2022,100.0,BMD
Bhola,2023,100.0,BMD
Bogra,1961,100.0,BMD
Bogra,1962,100.0,BMD
Bogra,1963,100.0,BMD
Bogra,1964,100.0,BMD
Bogra,1965,100.0,BMD
Bogra,1966,100.0,BMD
Bogra,1967,100.0,BMD
Bogra,1968,100.0,BMD
Bogra,1969,100.0,BMD
Bogra,1970,99.5,BMD
Bogra,1971,74.2,BMD
Bogra,1972,100.0,BMD
Bogra,1973,100.0,BMD
Bogra,1974,100.0,BMD
Bogra,1975,99.7,BMD
Bogra,1976,100.0,BMD
Bogra,1977,100.0,BMD
Bogra,1978,100.0,BMD
Bogra,1979,100.0,BMD
Bogra,1980,100.0,BMD
Bogra,1981,100.0,BMD
Bogra,1982,100.0,BMD
Bogra,1983,100.0,BMD
Bogra,1984,100.0,BMD
Bogra,1985,100.0,BMD
Bogra,1986,100.0,BMD
Bogra,1987,98.4,BMD
Bogra,1988,100.0,BMD
Bogra,1989,100.0,BMD
Bogra,1990,97.3,BMD
Bogra,1991,100.0,BMD
Bogra,1992,100.0,BMD
